"","log_prior","log_likelihood","log_posterior","time_shift","beta_0","beta_1","wane","log_delta","sigma_2"
"39",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"40",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"41",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"42",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"43",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"44",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"45",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"46",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"47",-12.9673869939895,-41266.773521037,-41279.740908031,0.322066045054757,0.0627749645706264,0.645417458705673,0.509016660727253,-7.40741443503014,5.33280769146821
"48",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"49",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"50",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"51",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"52",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"53",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"54",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
